forms_number,forms_text
14490,"(ARAR) EMISSÃO DE NOTA FISCAL;OS DADOS CHEGAM ATRAVÉS DOS CONTRATOS, AUTORIZAÇÕES DE SERVIÇOS, OS QUAIS SÃO UTILIZADOS NA EMISSÃO DAS NOTAS, QUE SEGUEM PARA O SETOR DE CONTABILIDADE DA INSTITUIÇÃO, FICANDO ARQUIVADAS NO SETOR CITADO E NO SISTEMA DE EMISSÃO DE NOTAS (HTTP://PORTALDOCONTRIBUINTE.PUBLICSOFT.COM.BR/SISTEMAS/PORTALDOCONTRIBUINTE/VIEWS/)"
14491,(ARAR) GESTÃO DA SALA DO EMPREENDEDOR;REALIZADO PELOS AGENTES DE DESENVOLVIMENTO NAS SALAS DO EMPREENDEDOR.
14492,(ARAR) OFERTA DE SOLUÇÕES AOS CLIENTES;ATENDIMENTO DIRETO AO CLIENTE OU CONSULTADO BASE SAS.
14493,"(ARAR) REALIZAÇÃO DE PESQUISAS/AVALIAÇÕES;OS DADOS PESSOAIS SÃO VINCULADOS AOS PARTICIPANTES DOS EVENTOS LANÇADOS NO SAS, O ACESSO É PELO CPF NO LINK CRIADO NO SISTEMA (HTTPS://PESQUISAS.SEBRAEPB.COM.BR/LOGIN), A AVALIAÇÃO NOS POSSIBILITA DIMENSIONAR O QUE PODE SER MELHORADO NOS SERVIÇOS PRESTADOS PELA INSTITUIÇÃO."
14495,"(ARAR) RECEBIMENTOS DE CLIENTES;OS DADOS CHEGAM ATRAVÉS DA LOJA, TAMBÉM SÃO ENVIADOS VIA WHATSAPP E PESSOALMENTE. OS QUAIS SÃO IMPORTANTES PRA QUE O SETOR COMPETENTE FAÇA O CONTROLE DAS RECEITAS, ENVIADO OS COMPROVANTES(RECIBOS) PARA O SETOR DA CONTABILIDADE DO SEBRAE/JP"
14496,(ARAR) RELACIONAMENTO COM O CLIENTE PRESENCIAL/REMOTO;COLETADO DIRETAMENTE COM O CLIENTE DURANTE O ATENDIMENTO.
14497,"(ARAR) RELACIONAMENTO EM PLATAFORMAS DIGITAIS;OS DADOS CHEGAM ATRAVÉS DO SAS, FONTE DE DADOS QUE SÃO UTILIZADOS PRA ATENDIMENTOS DOS CLIENTES, ONDE FICAM REGISTRADAS/ARMAZENADAS AS INFORMAÇÕES DAS SOLUÇÕES QUE OS MESMOS PARTICIPAM."
14498,(ARAR) RELATÓRIOS DE CONSULTORIAS;NO CADASTRO DO ATENDIMENTO PRESENCIAL OU ATRAVÉS DA SOLICITAÇÃO LEAN.
14519,"(ARGB) CADASTRO DE SOLUÇÕES;OS DADOS CHEGAM DE FORMA ESPONTÂNEA NA AGÊNCIA E ATRAVÉS DE DIVERSOS EVENTOS QUE REALIZAMOS (CURSO, PALESTRA, SEMINÁRIO, ETC.) ELES SÃO IMPORTANTES E NECESSÁRIOS PARA O CUMPRIMENTO DA NOSSA MISSÃO. EM ALGUMAS AÇÕES OUTRAS UNIDADES PARTICIPAM COMO É O CASO DO PROJETO DE EDUCAÇÃO EMPREENDEDORA POR EXEMPLO. OS DADOS SÃO CADASTRADOS NO NOSSO SISTEMA E AS LISTAS ARQUIVADAS."
14515,"(ARGB) CADASTRO DOS CLIENTES;OS DADOS CHEGAM ATRAVÉS DA RECEPÇÃO DA AGÊNCIA, IMPORTANTES PARA COMPROVAR O ATENDIMENTO FAZENDO CUMPRIR A MISSÃO DA INSTITUIÇÃO. RECEPÇÃO E ESTAGIÁRIO TEM ACESSO PARA LANÇAMENTO NO SISTEMA. OS DADOS FICAM ARMAZENADOS NO SISTEMA."
14517,"(ARGB) CAPACITAÇÃO EMPRESARIAL;SÃO OS CLIENTES , CHEGAM EM BUSCA DE ATENDIMENTO, DE INFORMAÇOES."
14521,"(ARGB) DIAGNOSTICO COM O CLIENTE;OS DADOS CHEGAM DE FORMA ESPONTÂNEA  NA AGÊNCIA E ATRAVÉS DE DIVERSOS EVENTOS QUE REALIZAMOS (CURSO, PALESTRA, SEMINÁRIO, ETC.) ELES SÃO IMPORTANTES E NECESSÁRIOS PARA O CUMPRIMENTO DA NOSSA MISSÃO. EM ALGUMAS AÇÕES OUTRAS UNIDADES PARTICIPAM COMO É O CASO DO PROJETO DE EDUCAÇÃO EMPREENDEDORA POR EXEMPLO. OS DADOS SÃO CADASTRADOS NO NOSSO SISTEMA E AS LISTAS ARQUIVADAS."
14522,"(ARGB) EMISSÃO DE CERTIFICADOS;APOS A FINALIZAÇÃO DOS CURSOS, PALESTRAS, WHORKSHOP A TURMA JA ESTA INSERIDA NO SAS , PEGO A LISTA DE FREQUENCIA VEJO QUEM TEVE MAIS DE 1 FALTA E VOU PREENCHENDO A PARTICIPAÇÃO DE CADA CLIENTE, E NO FINAL ENCAMINHO POR EMAIL E NO GRUPO DE WHATSAP ENCAMINHO O LINK PARA A EMISSÃO DOS CERTIFICADOS"
14516,"(ARGB) EMISSÃO DE NOTA FISCAL;OS DADOS CHEGAM DE FORMA ESPONTÂNEA  NA AGÊNCIA E ATRAVÉS DE DIVERSOS EVENTOS QUE REALIZAMOS (CURSO, PALESTRA, SEMINÁRIO, ETC.) ELES SÃO IMPORTANTES E NECESSÁRIOS PARA O CUMPRIMENTO DA NOSSA MISSÃO. EM ALGUMAS AÇÕES, OUTRAS UNIDADES PARTICIPAM COMO É O CASO DO PROJETO DE EDUCAÇÃO EMPREENDEDORA POR EXEMPLO. OS DADOS SÃO CADASTRADOS NO NOSSO SISTEMA E AS LISTAS ARQUIVADAS."
14524,"(ARGB) GESTÃO DA SALA DO EMPREENDEDOR;OS DADOS PESSOAS CHEGAM ATRAVÉS DE ATENDIMENTO PRESENCIAL OU POR MEIO DE SOLICITAÇÃO DE DEMANDAS DE CLIENTES VIA LINK DO LEANSEBRAETEC, TAIS DADOS SÃO IMPORTANTES PARA DA VERACIDADE AO PERFIL DO CLIENTE DEMANDANTE  E LOCALIZAÇÃO DO MESMO."
14514,"(ARGB) OFERTA DE SOLUÇÕES AOS CLIENTES;OS DADOS CHEGAM DE FORMA ESPONTÂNEA NA AGÊNCIA E ATRAVÉS DE DIVERSOS EVENTOS QUE REALIZAMOS (CURSO, PALESTRA, SEMINÁRIO, ETC.) ELES SÃO IMPORTANTES E NECESSÁRIOS PARA O CUMPRIMENTO DA NOSSA MISSÃO. EM ALGUMAS AÇÕES OUTRAS UNIDADES PARTICIPAM COMO É O CASO DO PROJETO DE EDUCAÇÃO EMPREENDEDORA POR EXEMPLO. OS DADOS SÃO CADASTRADOS NO NOSSO SISTEMA E AS LISTAS ARQUIVADAS."
14520,(ARGB) REALIZAÇÃO DE PESQUISAS/AVALIAÇÕES;OS DADOS PESSOAIS CHEGAM PORQUE FAÇO ATENDIMENTO NO SETOR DE ORIENTEÇÃO EMPRESARIAL E EDUCAÇÃO EMPRESARIAL.
14523,"(ARGB) RECEBIMENTOS DE CLIENTES;POR MEIOS DE ATENDIMENTOS PRESENCIAL, OU ATRAVÉS DO LINK LEANSEBRAETEC"
14525,"(ARGB) RELACIONAMENTO COM O CLIENTE PRESENCIAL/REMOTO;OS DADOS CHEGAM ATRAVÉS DO REGISTROS DOS PARTICIPANTES DURANTE EVENTOS, WORKSHOPS, TREINAMENTOS OU OUTRAS ATIVIDADES PROMOVIDAS PELO SEBRAE, OS CLIENTES PODEM FORNECER SEUS DADOS PESSOAIS DURANTE O PROCESSO DE INSCRIÇÃO OU REGISTRO. ESSES DADOS PODEM INCLUIR NOME, ENDEREÇO DE E-MAIL, NÚMERO DE TELEFONE, EMPRESA/ORGANIZAÇÃO, ENTRE OUTROS."
14518,"(ARGB) RELACIONAMENTO EM PLATAFORMAS DIGITAIS;QUANDO O CLIENTE CHEGA NA AGENCIA A RECEPCIONISTA PREENCHE A FICHA E NOS ENCAMINHA PARA ATENDIMENTO, OU NOS CURSOS, TODOS OS PARTICIPANTES NOS ENCAMINHA O NOME COMPLETO E O NUMERO DO CPF, CASO JA TENHA CADASTRO INSERIMOS O ATENDIMENTO CASO CONTRARIO IREMOS PREENCHER A FICHA COM ELES."
14513,(ARGB) RELATÓRIOS DE CONSULTORIAS;OS DADOS PESSOAS CHEGAM ATÉ MINHA PESSOA ATRAVÉS DE ATENDIMENTO PRESENCIAL OU ATRAVÉS DE CADASTRO DO CLIENTE SOLICITANTE DE DEMANDA NO SISTEMA LEANSEBRAETEC. AO TERMINO DAS ATIVIDADES TODOS OS DADOS SÃO ARMAZENADOS.
14529,(ARMO) CAPACITAÇÃO EMPRESARIAL;CHEGA ATRAVÉS DOS MULTICANAIS DE INSCRIÇÕES NO SEBRAE. SÃO IMPORTANTE PARA O RELACIONAMENTO COM O CLIENTE E TOMADAS DE DECISÕES.
14536,(ARMO) DIAGNOSTICO COM O CLIENTE;ATRAVÉS DE MULTICANAIS DE INSCRIÇÕES DO CLIENTE NO SEBRAE. SÃO IMPORTANTES PARA TOMADA DE DECISÃO E RELACIONAMENTO COM O CLIENTE.
14537,"(ARMO) EMISSÃO DE CERTIFICADOS;CHEGAM ATRAVÉS DOS MULTICANAIS DE ATENDIMENTO SEBRAE, COMO CURSOS E ETC. A MAIORIAS DAS UNIDADES PARTICIPAM E TEM ACESSO A ESTAS INFORMAÇÕES. OS DADOS SERVEM PARA GERAR RELACIONAMENTO POSTERIORES, CONHECER AS NECESSIDADES E PERSONA DOS NOSSOS CLIENTES E AJUDAR NAS TOMADAS DE DECISÕES."
14538,"(ARMO) RELACIONAMENTO COM O CLIENTE PRESENCIAL/REMOTO;CHEGAM ATRAVÉS DE VÁRIAS INSCRIÇÕES EM INSTRUMENTOS DO SEBRAE, COMO CURSOS, PALESTRAS , ORIENTAÇÕES , CONSULTORIAS, EVENTOS E ETC. SÃO IMPORTANTES PORQUE SEM ESSAS INFORMAÇÕES NÃO TEMOS COMO REALIZAR A DEMANDA, BEM COMO, PARA TRANSFORMAR EM INFORMAÇÕES E CONHECIMENTO SÓCIO ECONÔMICO DA REGIÃO TANTO PARA NOSSA ATUAÇÃO COMO PARA TOMADA DE DECISÃO. AS UNIDADES PARTICIPAM SE A DEMANDA FOR INTEGRADA, QUANDO NÃO, NÃO PARTICIPA, OS DADOS FICAM SALVOS EM NOSSA BASE DE DADOS."
15375,"(ARPA) CADASTRO DOS CLIENTES;OS DADOS CHEGAM NO SETOR DE ORIENTAÇÃO EMPRESARIAL SÃO IMPORTANTES PARA SE IDENTIFICAR A NECESSIDADE DO CLIENTE. REGISTRAMOS OS ATENDIMENTOS DE CLIENTES NO SISTEMA DE ATENDIMENTO DO SEBRAE. TODOS OS FUNCIONÁRIOS E COLABORADORES, AUTORIZADOS E QUE POSSUEM SENHA INDIVIDUAL, TÊM ACESSO AO SAS."
15374,(ARPA) CAPACITAÇÃO EMPRESARIAL;OS DADOS DE CLIENTES CHEGAM ATRAVÉS DO PREENCHIMENTO DA FICHA DE INSCRIÇÃO EM EVENTOS.
15377,"(ARPA) DIAGNOSTICO COM O CLIENTE;OS DADOS CHEGAM NO SETOR DE ORIENTAÇÃO EMPRESARIAL SÃO IMPORTANTES PARA SE IDENTIFICAR A NECESSIDADE DO CLIENTE. REGISTRAMOS OS ATENDIMENTOS DE CLIENTES NO SISTEMA DE ATENDIMENTO DO SEBRAE. TODOS OS FUNCIONÁRIOS E COLABORADORES, AUTORIZADOS E QUE POSSUEM SENHA INDIVIDUAL, TÊM ACESSO AO SAS."
15379,(ARPA) EMISSÃO DE CERTIFICADOS;OS DADOS SÃO NECESSÁRIOS PARA O CADASTRO NO SAS E AO FINAL DOS EVENTOS EMISSÃO DE CERTIFICADO.
15383,(ARPA) GESTÃO DA SALA DO EMPREENDEDOR;SISTEMA SAS
15372,"(ARPA) RECEBIMENTOS DE CLIENTES;OS DADOS DOS CLIENTES CHEGAM ATÉ O ATENDIMENTO QUANDO O CLIENTE BUSCA ORIENTAÇÃO SOBRE EMPREENDEDORISMO E OS SERVIÇOS DO SEBRAE. OS DADOS PESSOAIS COMO CPF, ENDEREÇO, CONTATOS, CNPJ, ENTRE OUTROS,  SÃO REGISTRADOS NO SAS E TEMOS ACESSO COM SENHA PESSOAL."
10024,"0001 - UGF - CONVÊNIOS, CONTRATOS E PATROCÍNIOS ;COMO OS DADOS PESSOAIS SÃO COLETADOS: NO RECEBIMENTO DE REVISÕES DE CONTRATOS, É ENCAMINHADA UMA CÓPIA DA CONTRATO. COMO OS DADOS PESSOAIS SÃO TRATADOS: CONTRATOS: PARA AS ATIVIDADES DE REVISÕES DE CONTRATO, AS NECESSIDADES SÃO ENCAMINHADAS ATRAVÉS DO SISTEMA TRÂMITE (SISTEMA INTERNO SEBRAE/AL PARA GESTÃO DE PROCESSOS). QUANTO A NECESSIDADE SE REFERE A CONTRATO DIGITAL, É ENCAMINHADA CÓPIA DO CONTRATO VIA TRAMITE. QUANTO O CONTRATO É FÍSICO, A UNIDADE FAZ A COLETA DO CONTRATO NO SETOR JURÍDICO E APÓS A DEVOLUÇÃO, ESSE TRÂMITE É FEITO VIA PROTOCOLO FÍSICO. EVENTUALMENTE, OCORRE O RECEBIMENTO DE ALGUMA DEMANDA POR E-MAIL INSTITUCIONAL (OUTLOOK), PORÉM O SETOR ESTÁ FAZENDO A ORIENTAÇÃO DE QUE TODOS PASSEM A FAZER AS SOLICITAÇÕES VIA TRAMITE. CONVÊNIOS: NOS CONVÊNIOS, SÃO TRATADOS APENAS DADOS DE IDENTIFICAÇÃO DOS REPRESENTANTES LEGAIS E DOS GESTORES DO CONVÊNIO, TANTO DO CONVENIADO, COMO DO SEBRAE/AL. TODA A GESTÃO DOS CONVÊNIOS OCORRE VIA TRAMITE E VIA E-MAIL, SENDO GERADOS DOCUMENTOS FÍSICOS, QUE SÃO ARMAZENADOS NO SETOR JURÍDICO. EVENTUALMENTE, PODE OCORRER A MUDANÇA DO GESTOR RESPONSÁVEL PELO CONVÊNIO, DE FORMA QUE, EM RELAÇÃO AO CONVENIADO, ELE INFORMA AO GESTOR DO SEBRAE/AL QUE FAZ O REPASSE DO NOVO GESTOR PARA A UGF. PATROCÍNIOS: NOS PATROCÍNIOS, SÃO TRATADOS APENAS DADOS DE IDENTIFICAÇÃO DOS REPRESENTANTES LEGAIS, DOS RESPONSÁVEIS TÉCNICOS, RESPONSÁVEL PELA PRESTAÇÃO DE CONTAS E DOS GESTORES DO PATROCÍNIO, TANTO DO PATROCINADO, COMO DO SEBRAE/AL. TODA A DOCUMENTAÇÃO DOS PATROCÍNIOS FICAM ARMAZENADAS NO SETOR DE CONVÊNIO DA UGF. EVENTUALMENTE, PODE OCORRER A MUDANÇA DO GESTOR RESPONSÁVEL PELA PRESTAÇÃO DE CONTAS DO PATROCÍNIO, DE FORMA QUE, EM RELAÇÃO AO PATROCINADO, ELE INFORMA AO SETOR UGF SOBRE A MUDANÇA, ENCAMINHANDO OS DADOS DE IDENTIFICAÇÃO DO NOVO RESPONSÁVEL. ONDE OS DADOS PESSOAIS SÃO ARMAZENADOS: SISTEMA TRÂMITE, OUTLOOK, PASTA NOS SERVIDOR SEBRAE/AL E PASTA FÍSICA NO ARQUIVO DO SETOR DE CONVÊNIO (DOCUMENTOS DOS PATROCÍNIOS)."
9187,"0001 - UTIC - GESTÃO DE NOVAS TECNOLOGIAS E BI;OS DADOS PESSOAIS DE IDENTIFICAÇÃO DO DEMANDANTE SÃO COLETADOS POR MEIO DO RECEBIMENTO DE CHAMADOS PARA A AQUISIÇÃO DE NOVAS TECNOLOGIAS. JÁ OS DADOS DOS COLABORADORES EXTRAÍDOS PARA BI SÃO ACESSADOS POR MEIO DO SISTEMA RM. OS DADOS SÃO ARMAZENADOS NO SE SUITE, NO SISTEMA RM TOTVS, NO E-MAIL E NO WHATSAPP BUSINESS."
10027,"0002 - UCD - AMBIENTE DE NEGÓCIOS - CIDADES EMPREENDEDORAS;OS DADOS PESSOAIS DOS EMPREENDEDORES SÃO COLETADOS A PARTIR DA PLATAFORMA CIDADES EMPREENDEDORAS. OS DADOS PESSOAIS SÃO TRATADOS, TAMBÉM, PARA FINS DE APLICAÇÃO DE EVENTOS DE CAPACITAÇÃO DE GESTORES E PARA CASOS DE MISSÃO TÉCNICA (NOME COMPLETO, CPF, E-MAIL, TELEFONE, DATA DE NASCIMENTO, ENDEREÇO).OS DADOS PESSOAIS DOS PARTICIPANTES DO EVENTO FICAM ARMAZENADOS NA DOITY (NÃO SÃO ARMAZENADOS NA PLATAFORMA CIDADES EMPREENDEDORAS). OS DADOS PESSOAIS DO GRUPO DE GESTORES É TRATADO E ARMAZENADO NO PPE, PARA FINS DE PAGAMENTO."
9903,"0002 - UTIC - GESTÃO DE SISTEMAS, DE BANCOS DE DADOS E HELPDESK ;OS DADOS PESSOAIS TRATADOS PELA UTIC SÃO COLETADOS POR OUTRAS UNIDADES DO SEBRAE/TO."
9207,"0003 - AUD - GESTÃO DE AUDITORIAS ;OS DADOS SÃO ACESSADOS NOS SISTEMAS CORPORATIVOS DO SEBRAE/TO, SENDO O ACESSO LIBERADO À MEDIDA QUE SURJA A NECESSIDADE DE REALIZAÇÃO DAS DIFERENTES AUDITORIAS. DADOS QUE NÃO CONSTAM NOS SISTEMAS SÃO SOLICITADOS PELA RESPONSÁVEL PELO SETOR DIRETAMENTE AO GESTOR DO PROCESSO QUE ESTÁ SENDO AUDITADO, POR E-MAIL INSTITUCIONAL. OS DADOS PESSOAIS SÃO ARMAZENADOS NA PASTA DE AUDITORIAS NA NUVEM DO ONEDRIVE DO SEBRAE/TO E NO E-MAIL INSTITUCIONAL DO OUTLOOK (SUBPASTAS)."
10028,"0003 - USI - AMBIENTE E TERRITÓRIOS - PROMOTORES DE INOVAÇÃO EM ALAGOAS; ALI ECOSSISTEMAS;OS DADOS SÃO COLETADOS EM LISTAS DE FREQUÊNCIA, DIRETAMENTE COM OS TITULARES. ALGUNS DADOS SÃO COLETADOS PELAS INSTITUIÇÕES PARCEIRAS. OUTROS DADOS, SOBRETUDO DE CREDENCIADOS SEBRAE, SÃO COLETADOS A PARTIR DE CADASTRO PRÉVIO NO SAS. O ALI FAZ PAGAMENTO DOS VALORES DA BOLSA DIRETAMENTE AO BOLSISTA. A UGF COLETA DADOS DE PAGAMENTO DAS PESSOAS PARTICIPANTES DAS MISSÕES DO SEBRAE/AL. OS DADOS SÃO CADASTRADOS NO SAS, SIS, PPE. O PROJETO AMBIENTE E TERRITÓRIOS USA SISTEMA PRÓPRIO, NOMEADO PLATAFORMA ELI (ECOSSISTEMA LOCAL DE INOVAÇÃO), ONDE SÃO COLETADOS E TRATADOS OS DADOS PESSOAIS DE REPRESENTANTES DAS INSTITUIÇÕEOS QUE FAZEM PARTE DO ECOSSISTEMA (NOME COMPLETO, TELEFONE, E-MAIL E CNPJ DA INSTITUIÇÃO AO QUAL ESTÁ VINCULADO)."
